comment,aspects
"Six months have not repaired! Officials do not look bad review, right? Huawei users may be too few! The official ignored attitude makes people very angry. the new version still crush! I'm angry! ! ! flashback on android 7.0, Huawei EMUI5.0",['824.online-experience.updates-versions.0']
"Better than my local bank.. super fast, seamless transactions.
Thumbs Up Chatterbank!",['824.company-brand.competitor.0']
Amazing and quick,['824.company-brand.general-satisfaction.0']
This app has helped me manage my money lots better I never have much time so going in a bank is hard the assistant helped me with it and I love it thankyou,['824.company-brand.convenience.0']
"Monese is amazing. I have completed the couple of online steps and verified my id with a video call with Monese Support Team member and then done! My Monese account opened and I got my debit card in couple of days.

Opening a bank account in the UK is not an easy thing that people suffered from this know very well that what I am talking about! So, Monese doing really great job it is a revolution in its area!

Many thanks Monese!",['824.company-brand.general-satisfaction.0']
"I’ve been using Chatterbank for a few months now. Totally fascinated by its speed, ease of use and multiple functionality! Amazing how the simplest apps are always the best. Thank you Chatterbank!",['824.company-brand.competitor.0']
verry good and conviniate.,"['824.company-brand.general-satisfaction.0', '824.company-brand.convenience.0']"
Good. Would have got 5 stars but you can only use it on one device which can be a bit annoying,['824.company-brand.general-satisfaction.0']
"Very easy to use, 
convenient conversion.",['824.company-brand.convenience.0']
Rubbish app. Rubbish bank. Rubbish staff. Sticking with Lloyds.,['824.company-brand.general-satisfaction.0']
"1 year. Zero complaints. Has become my main account.
Already much better than any existing bank’s current account and still plenty of potential to be even better.","['824.company-brand.general-satisfaction.0', '824.company-brand.competitor.0']"
"Works well for travelling abroad, saves money vs using a debit card or some other travel cards. The app is easy to use and makes it easy to top up, although I had some occasional problems, maybe internet connection issues. The card has worked fine. Easy to use contactless or with the PIN.",['824.company-brand.competitor.0']
Verry gooooood 👍🏼👍🏼👍🏼👍🏼,['824.company-brand.general-satisfaction.0']
Easy to use on the go fantastic,['824.company-brand.general-satisfaction.0']
Why did the history of exchange rates in crypto currencies disappear?,['824.company-brand.general-satisfaction.0']
Esta en ingles,['824.online-experience.language.0']
"Was excellent but the new UI is confusing and inconsistent. The 'back' button in Android is not respected - it just exits the whole app. Some screens have a back arrow included, whilst others don't. These inconsistencies cause a lot of frustration when you have years of muscle memory for Android apps. Bonus lost star for inability to add Monzo to my Samsung watch. Not great for a tech bank to lack support for second largest Smartwatch brand.",['824.online-experience.updates-versions.0']
I find it wholly unacceptable that the reference used on banking transactions is not available  to view on our statements or any download. This is a vital piece of information when compiling information for Inheritance tax submissions in particular.,['824.company-brand.convenience.0']
"straightforward, efficient, easy to use",['824.company-brand.general-satisfaction.0']
Once I'm in the app it's great but getting in is the issue. I can't log in on Wi-Fi it just scrolls. I have to disable and go in through 4g. Previously it was fine until I upgraded to digital secure key.,['824.account-management.account-access.0']
Amazing service from Lloyds bank. Very good response from Lloyds bank staff.,['824.company-brand.general-satisfaction.0']
Really good support team. Always clear and prompt response plus helpful and friendly problem-solving Answers,['824.company-brand.convenience.0']
"used to be so good before the June 2019 update, now so full of unwanted bloatware",['824.online-experience.updates-versions.0']
This is fantastic! No more Bank transfer fees!,['824.company-brand.general-satisfaction.0']
so far all excellent!,['824.company-brand.general-satisfaction.0']
"This app has been great for months then I log in and cannot view my credit card.
It’s just vanished.
Not a happy bunny about this as I regularly check transactions via the app.",['824.account-management.account-access.0']
Perfect assistance. Speedy 👍👍,['824.company-brand.general-satisfaction.0']
"There is no option for zero star otherwise hsbc doesn’t worth even that star.
The worth bank ever in supporting customers. Literally they do nothing for you if you have a problem.",['824.company-brand.general-satisfaction.0']
"For the European Union, Caen has much better than Bonoc",['824.company-brand.competitor.0']
"A 1 star review is too kind for the service I have had from Santander business accounts team. Never waste your time opening a business account with them.  

My business partner and I opened the account online, in doing so we was only granted view only access until we supplied forms of I.D. Not a problem, we both work next to a branch of Santander. Unfortunately Santander don’t deal with business accounts in branch...? Commence the first of many, many phone calls. 

From the phone call we are now told we can fax  the documents from the branch and advised once received it’s was a 3-5 day process. If we wanted to make payments from the account we could attach a cover note outlining where the payments are to go and this was a same day process. I made a courtesy phone call to check they had received the documents. They had, it was being processed! 

We sat back and waited for our access to be granted, we then receive a letter 5 days after the faxed documents where sent outlining they could not process this request because they needed more I.D. They have a phone number and email as correspondence yet decide to use carrier pigeon. Don’t forget it’s a business account, and to successfully run a business I need access to the money within the account. 

Back in branch we venture , additional I.D faxed, courtesy phone call made, no fax received! Phone call the next day and advised aslong as you have faxed it to the correct fax number (same fax number as before) it will be actioned and our payments made! 

No payments made 2 days after the second fax. No access to the account online. Cue a phone call to the complaints department! A day of phone calls back and forth and still no sign of a resolution. As it stands I’m expecting a phone call tomorrow from the Santander employee dealing with my case. I only have their word for this and that is ever decreasing in value. 

They seem to have no idea how to rectify this kind of issue, you are left completely in the dark as to when you will be able to access your own money. This is a business account I need to pay others and myself from. This is completely unacceptable and embarrassing from Santander. I could never honestly recommend them to anybody. 

Be warned!","['824.account-management.account-access.0', '824.company-brand.general-satisfaction.0']"
"Simple and clear, no unnecessary screens or gadgets. Works very well and fingerprint access great",['824.account-management.fingerprint-facial-recognition.0']
I love that the best account on line.,['824.company-brand.general-satisfaction.0']
"would be useful to have calculator function in the app, to work out expenses",['824.company-brand.convenience.0']
"The app itself is nice and polished. Never tested the customer service other than a chat with the robot once: It was sure artificial and helpless. 

Now, coming to the bad: The app size is unreasonable. Almost 500 MB!
The app gets an update every week. While this is a good IT practice, it's likely less a
good customer experience because that's almost 2GB of data every month!",['824.online-experience.updates-versions.0']
Excellent and simple interface for all your account and activities,['824.company-brand.general-satisfaction.0']
"HSBC causes stress and anxiety, low self esteem and tension in my household. It is incredible how bad the management of this bank is but this will pass as well and everybody will forget and the current management team will still have their jobs and still deliver rubbish service to paying customers. My company offers a product called, ""How to be an efficient and effective member of any management team"". I will give it to you for free  but can you at least just try to pretend that you are delivering a service to paying clients? The planet that the bank lives on is stuck in the 80s with the excuses and reasons you use to try and calm clients down. Get with the programme and times HSBC, currently you are terrible. Been a business and personal customer for 14 years now. That will most likely change after this Bounce Back Loan escapade and fas.",['824.company-brand.general-satisfaction.0']
When will the English version of the program be made?,['824.online-experience.language.0']
"This is the best banking app by a country mile. It's way more versatile than the other high street banking apps especially with the ability to use fingerprint scan, pay contacts etc. Love it",['824.account-management.fingerprint-facial-recognition.0']
"Negatives- So often now I am finding that the app just doesn't work, I open it and it doesn't let me use my fingerprint but instead asks for my passcode which would be fine however it doesn't bring up a keypad to let you enter the code. Means I have no way off actually getting in rendering it unusable.
Positives- Love this app when it is working, makes banking easy and convenient. Simple to transfer money between accounts and pay bills, everything I could want clearly displayed.","['824.account-management.fingerprint-facial-recognition.0', '824.account-management.account-access.0', '824.company-brand.convenience.0']"
"This was good until I upgraded to an IPhone 11 pro, now all I get is ‘Unexpected error’ every time I try to log on.  Tried deleting and reinstalling, restarting etc but still ‘unexpected error’.",['824.account-management.account-access.0']
I am using Chatterbank just for one week but for now I am really satisfied.,['824.company-brand.general-satisfaction.0']
"Great solution for people traveling more than than an average person. 
Ultra quick transfers. Great support line. 
👍🏽",['824.company-brand.general-satisfaction.0']
Excellent Bank Excellent customer service,['824.company-brand.general-satisfaction.0']
"***Fixed*** some WiFi networks dont allow login. Switch to data. There's this bug that doesn't let me access the app. Neither via password, nor fingerprint. It sporadically chooses to work and when it does not, it always says: ""Too many logins, try again in 30mins"" Please fix this! This is making the app unusable.",['824.account-management.account-access.0']
I have called and email several times to access mr freight builder account it says it’s locked after I answered the wrong security questions even though they were true . Took me so long to get a representative for her to tell me update the app which I’ve already done so I got an app downloaded that I can’t even use for credit building or loans it’s legit just taking up space now smh such a waste !,['824.online-experience.updates-versions.0']
The gratest app in World,['824.company-brand.competitor.0']
Des services a la pointe.,['824.company-brand.general-satisfaction.0']
No pin security.,['824.account-management.account-access.0']
Top App &amp; Bank,['824.company-brand.general-satisfaction.0']
Serious bank.. And professional.. Online.. With the. My needs,['824.company-brand.general-satisfaction.0']
"Very helful, very easy to use",['824.company-brand.general-satisfaction.0']
"I opened an account and used my card overseas without charges and a fair rate of exchange. I have also now opened a Euro account, so far so good! Very Happy 😊",['824.company-brand.general-satisfaction.0']
"Never had an issue! Good system, having two accounts in one!!",['824.company-brand.general-satisfaction.0']
managed to send an international payment via bank transfer in 15 seconds. amazing,['824.company-brand.general-satisfaction.0']
"Such bad service. Seven days of trying to get through to the right department. I understand that they are understaffed due to Covid, but after cuing for 3.5 hours, speaking to literally dozens of people in the customer support team - asking everyone of them not to put me on hold - they just re-enter you into the start of the cue, without dealing with the issue themselves.

I've had Natwest accounts for over 15 years. I will be switching after this experience.",['824.company-brand.general-satisfaction.0']
"with all the things they offer I believe they could be great, the biggest thing that turned me off was that they kept charging a bank I wasn't using anymore for my plus membership which I deleted from the app and it wasn't even on the agreement I signed. then when I called them they didn't even help me resolve the issue and made it seem like I was at fault. so I am out. you also can't cancel your membership without calling them",['824.company-brand.general-satisfaction.0']
"The tsb has always lived up to its reputation as looking after its customers,it will always continue do that,the tsb has always put customer satisfaction first and foremost,the staff have always been very kind and helpful,and I would recommend the tsb to all family and friends.",['824.company-brand.general-satisfaction.0']
Thank you very much and I'm really happy :-) with my card,['824.company-brand.general-satisfaction.0']
"I’ve got two accounts with Atom and have been very impressed. So easy to set up and manage and their interest rates are far better than most banks/building societies. It would have been a 5 but for the fact I couldn’t get an end of financial year statement for my tax return. Other than that, a great experience",['824.company-brand.general-satisfaction.0']
Won't even let sign up for it properly keeps telling me my address is wrong when clearly it's not been trying to sign up for weeks but doesn't let me go any further when I try sign up so I'm not even bothered now lost interest.,['824.account-management.account-access.0']
I really enjoy using this card at it gives me notifications every time I use it and I find this very useful.,['824.company-brand.convenience.0']
"Very useful, very good customer service",['824.company-brand.convenience.0']
"My parents are abroad and have not been able to access their own money for two weeks. Despite numerous calls (costing a fortune) to the useless call centre, they have been fobbed off and told to: fly back to the uk and go into a branch with ID three times DESPITE staff being told they are in East Africa. Every call to the useless call centre has resulted in utter frustration, useless staff who just cannot be bothered to help, and when they tried to raise a complaint - they were told to go into a branch as it cannot be done online. After waiting a week to get new log in details, the account is still inaccessible, and now they have been told to wait for the next set of login details to be sent out again. WHY in 2016 does this stupid bank not have alternative security protocols when the useless online system fails? We as a family, have been customers for 30 years, since the days of Abbey National. The first thing we will all be doing upon their return to the UK is definitely visiting the local branch 20 miles away to close all our accounts. I cannot begin to express the utter rage and anger I feel about this bank who doesn't know the meaning of customer service. Maybe your senior managers and call centre staff can go and have a training day (or month!) at First Direct.",['824.account-management.account-access.0']
I am Canadian and I have an HSBC account in Mexico. This country is not available in your application! It is so useless.,['824.company-brand.general-satisfaction.0']
"Only used the card once to activate it but....
It seems an ideal solution and being able to convert to other currencies on the app is brilliant.
In fact being able to track, use, look etc on the app is such a good idea.
It was highly recommended by some friends and I can see why.",['824.company-brand.general-satisfaction.0']
Really nice and smooth.,['824.company-brand.general-satisfaction.0']
"We love Starling Bank. 
It is without doubt the best thing we have ever done when it comes to money. 
We have control. 
Thank you Starling",['824.company-brand.general-satisfaction.0']
Okay 10 10 10 10,['824.company-brand.general-satisfaction.0']
very good ... needs cheque paying in feature.,['824.company-brand.general-satisfaction.0']
"Chatterbank is the best way to transfer money using best real time change rate EUR-USD$. Additionally, the best prepaid visa/master card to use when I’m abroad.  Chatterbank always deserves 5 stars.",['824.company-brand.competitor.0']
"Doesn't really do much. And whatever it does, does so with a lot of pain. Wish they would have focused more on functionality and features than just having a namesake app to show that they are keeping up with the market. I face login issues half of the time!  Even their netbanking website works better (even though its horribly cluttered).",['824.account-management.account-access.0']
"Super useful, quick and easy to set up and use. You can manage all of your accounts simultaneously.
Definitely would recommend it!!!",['824.company-brand.convenience.0']
"Excellent, the best online bank.",['824.company-brand.general-satisfaction.0']
I’ve banked with Lloyds for 32 yrs and I’ve always had a fantastic service,['824.company-brand.general-satisfaction.0']
We TSB decided to pull the old app beats me. The latest update for this means it no longer opens. Guess they will fix it eventually though,['824.account-management.account-access.0']
"I want to use the account as a business account and hope this works after the first major entrance I got a request to submit receipts. Just wait and see how this develops. If I hear from others here that their money has been frozen, maybe I should reconsider.",['824.account-management.account-access.0']
"Wonderful branch, Barking Central, staff are amazingly helpful, especially the gentleman who helps every customer with their digital banking journey",['824.company-brand.general-satisfaction.0']
"This is the worst bank that I have ever had the misfortune to deal with. They messed up my account switch, denied me access to my money for almost two weeks and they have policies for “security reasons” that they refuse to explain meaning that even using a debit card to spend your own money becomes a roulette ad to whether the payment will go through or not.  The customer services department are a joke, they can’t answer questions and try to transfer you to another department, who then try to transfer you back, avoid using this bank at all costs! It really isn’t worth it.",['824.company-brand.general-satisfaction.0']
"Utterly fantastic. Works seemlessly, spend in Europe and in slightly more exotic locations and when I pressed a wrong button and sent some money to alpha centuri in error, it was hoovered up from the black abyss and popped back in my account with alacrity, efficacy, humility and aplomb. If you do one thing today then download this app and forget financial frustration and enjoy a new and actually enjoyable fiscal relationship with the everyday world. Truly life changing. Don't take my word for it",['824.company-brand.general-satisfaction.0']
"why no password for login keep logging in via email is a pain also showing current exchange rates like Chatterbank would be a good idea, unlock app with fingerprint don't work either",['824.account-management.account-access.0']
So easy to use and safe with the fingerprint verification,['824.account-management.fingerprint-facial-recognition.0']
"I know most of us don’t use cheques anymore but the best ndustry I work in still does and as I’m self employed I often have 5-8 cheques to pay in a month. The app used to be brilliant because I could pay my wages in without having to make a special trip into town, find and pay parking to use the branch. However, over the last month the camera part of the cheque paying in process rarely works. I’m left with a white screen and a blue bar saying take photo of front of your cheque. I can’t take pic and the only way to get out of the white screen is to come out of the app completely and then start again. Plus I can’t pay in cheques over £500 and this can be a problem occasionally. Please fix this Barclays.",['824.company-brand.convenience.0']
"Brilliant, easy to use, quick .",['824.company-brand.general-satisfaction.0']
I went into the app and saw that I was logged out randomly this is quite weird cause this has never happened before,['824.account-management.account-access.0']
Very useful and straight forward can always find what I need and now I dont need to go to the bank to put a cheque in my account I can do that from my the comfort of my home brilliant one very happy customer.,['824.company-brand.convenience.0']
"Excellent service. Easy to set up and card came in a matter of days.
I had a problem with a company taking money out of my account when not due so I ccontacted starling through their chat service and it was resolved immediately. Would recommend if you need an easy to use basic account",['824.company-brand.general-satisfaction.0']
"Since joining Monese Bank, I have been welcomed and advised with the utmost skill, accuracy and friendliness. I have always been given the feeling grateful to be a customer of this bank. 
I'm wishlessly happy!",['824.company-brand.general-satisfaction.0']
"I'm pretty happy with everything overall, do want an option for more money on the loan tho,becides that it's great!",['824.company-brand.general-satisfaction.0']
"Says app out of date, updated it. Now in continued loop of taking me to the app to be told its out of date update it!
Testing of these updates is obviously flawed!",['824.online-experience.updates-versions.0']
"Great way to spend abroad without incurring charges, so easy to use too!",['824.company-brand.general-satisfaction.0']
Been using this for years and don't have a bad word only good.,['824.company-brand.general-satisfaction.0']
Good but sometimes the app is unresponsive,['824.company-brand.general-satisfaction.0']
Lets me bank without having to travel to a branch,['824.company-brand.convenience.0']
I am happy with starting!👌,['824.company-brand.general-satisfaction.0']
"Just what I need on my travels. Very informative app. that is easy to use 
and has not let me down. The associated real card is so much better than a 
normal bank card as every transaction is in the app virtually 
instantaneously.",['824.company-brand.competitor.0']
First look at this new design - it's bad. After some time of using I've changed my mind. It is ok.,['824.online-experience.updates-versions.0']
"Like touch login...........otherwise this has not improved my banking experience. Bring back graphics from previous app, and layout. Like to see all accounts at once in a list not by swiping. Sorry.......disappointed. ☹️",['824.account-management.fingerprint-facial-recognition.0']
"Love you guys - one suggestion: a budgeting feature? So that you can budget for the month.

Love the receipt attach feature",['824.company-brand.general-satisfaction.0']
"Simple and easy to use, very isefull.",['824.company-brand.general-satisfaction.0']
"For now with nothing to point, working perfectly!",['824.company-brand.general-satisfaction.0']
This app is getting really annoying. Chatterbank has now been performing a security check on my account for about 1 month... and I have not been able to access my funds at all. Super annoying!!!,['824.account-management.account-access.0']
Best bank app I've ever ueed,['824.company-brand.competitor.0']
Very good app easier than signing into online banking. Can do everything on this app. No issues,['824.account-management.account-access.0']
The Barclays app has everything you need from transferring between account setting up Standing orders and reviewing direct debits. There is also a facility to apply for loans and extending over draft limits. Saves you having to go to the bank to do the mundane banking .,['824.company-brand.convenience.0']
"Game changer in spending money at home and abroad. Fantastic fx rates, easy to use. Everyone should have one",['824.company-brand.general-satisfaction.0']
Can do everything pretty much via the app. Great stuff.,['824.company-brand.general-satisfaction.0']
"Amazing. Truly new era backing at your fingertips. Ease of use, cool features and amazing exchange rates.",['824.company-brand.general-satisfaction.0']
"THE NEW APP CONCEPT IS WORSE. THE PREVIOUS VERSION WAS MUCH BETTER It does everything traditional banks don't. Everyone should have a Chatterbank account. You get up to € 200 free, you recharge when you want, you control expenses, you can make free transfers, associate with paypal and google pay, generate a virtual card and turn it off whenever you want. It is the ideal complement to your traditional bank.","['824.company-brand.competitor.0', '824.online-experience.updates-versions.0']"
"It is the best solution for protecting your money... This card give you the best protection ever for a debit card... I can block and unblock the card in one second, I can block atm withdraws and more... No other bank offers such kind of protection.... All payments are made in 5 seconds max... My advice... Use a bank account for keeping your money and use Chatterbank for all others payments...",['824.company-brand.competitor.0']
"Very happy with my account n26
I had a double transaction concern with total that was settled in under 72 h",['824.company-brand.general-satisfaction.0']
Love you but you're taking forever to send my debit card 😥,['824.company-brand.general-satisfaction.0']
"Quick access to my finances Easy access especially with the app, helps me to keep on track with how much I’ve got, so never get unnecessary charges. I love it.",['824.account-management.account-access.0']
100% Very good,['824.company-brand.general-satisfaction.0']
"Great app, very helpful and time saver",['824.company-brand.convenience.0']
Two more updates and still takes ages to log in with WiFi.. When will you be sorting out this issue..?? Very annoying 😡😡,"['824.account-management.account-access.0', '824.online-experience.updates-versions.0']"
Couldn't manage without it.  Helpful back up if you have questions about the system.  I love the control I have thanks to this app.  Thank you lovely Barclays.,['824.company-brand.convenience.0']
"Easy to use, relatable, self explanatory content",['824.company-brand.general-satisfaction.0']
"The new update doesn’t seem to want to load, just crashes and shuts down every time I open it. Please fix",['824.online-experience.updates-versions.0']
Works great abroad very simple and easy,['824.company-brand.general-satisfaction.0']
"After over a year of using the account, it got deactivated and little information of why, customer service quite poor, and quite disappointed on the whole experience due to poor customer service towards me. Also information stored on the app has not been returned as requested.. Appalling really",['824.company-brand.general-satisfaction.0']
An excellent service provider always helpful when required.,['824.company-brand.general-satisfaction.0']
The best app I have used so far,['824.company-brand.competitor.0']
Works well for all I need,['824.company-brand.general-satisfaction.0']
Top draw 👍,['824.company-brand.general-satisfaction.0']
The only issue I have with this app is that I cannot transfer money from PayPal to here but it's probably not their fault. Other than that I don't think I'll find a better bank/service anywhere in the near future.,['824.company-brand.general-satisfaction.0']
"Its pathetic. Won't let me check my balance without logging in like the Nationwide app does, 99 out of a 100 times doesn't recognise my fingerprint and is not compatible with Android pay!!","['824.account-management.fingerprint-facial-recognition.0', '824.account-management.account-access.0']"
"I love your service. I’m not happy about the change in design from a month ago though. Not sure why the intuitive design was changed to a more confusing layout. Please implement a darkmode the white screen is unbearable. Please please as a darkmode to your next update. My eyes and millions around the world thank you in advance!
I would rate 5star with darkmode. UI was better before but maybe with time this new layout can become accepted :)",['824.online-experience.updates-versions.0']
"Excellent functionality and service r , revolutionising banking",['824.company-brand.general-satisfaction.0']
Fantastic app fantastic bank,['824.company-brand.general-satisfaction.0']
Very quick to reply and very helpful responses,['824.company-brand.convenience.0']
How can HSBC even have a app like this. It makes you put in so many passwords and is completely slow. You can't even transfer into other accounts. Lloyds has the best mobile banking I've ever come across.,['824.account-management.account-access.0']
"Good app, but with these updates it's annoying and frustrating...",['824.online-experience.updates-versions.0']
Easiest banking I’ve ever experienced,"['824.company-brand.general-satisfaction.0', '824.company-brand.competitor.0']"
"I find Halifax on line banking very Good but I keep getting logged out and have to keep changing my password, I have been trying to get into my account for three weeks and yet still I have no luck Can anyone help me with this request Thank you Vanessa Burrows",['824.account-management.account-access.0']
"Good when it works, but more often than not it doesn’t load. Disappointing. My other banking apps (TSB &amp; Halifax) work really well but this one always says ‘ooops’ at the crucial moment when you’re trying to do any banking. Always update the app but still doesn’t work. Any updates developers?!?",['824.online-experience.updates-versions.0']
"Have no problems, never freezes, logs me out if I don't do anything-nice and safe, simple, quick and easy to use. I love the bit that tells you your upcoming payments. Very useful when paid monthly!",['824.company-brand.convenience.0']
Most things good some things not. But those not good things are generally things that are liability related on their end and inconvenience anger on mine. After all they are letting a person borrow money. And we all have relatives we haven’t seen since we let them borrow money so... I can’t blame them. But all in all not much for me to complain about.,['824.company-brand.general-satisfaction.0']
Satisfying enough,['824.company-brand.general-satisfaction.0']
"Fingerprint login failed due a ""system error"". Reinstalled to same problem. Seems obvious that this is a natwest update fault which needs fixing ASAP. Google pixel 2xl android 10.","['824.account-management.fingerprint-facial-recognition.0', '824.online-experience.updates-versions.0']"
it's SIMPLE COMPLETE AND VERY DETAILED,['824.company-brand.general-satisfaction.0']
"Very bad, I can't open the app when it needs most we should follow the e token","['824.account-management.account-access.0', '824.company-brand.general-satisfaction.0']"
Very handy and useful,['824.company-brand.convenience.0']
Really better than a bank,['824.company-brand.competitor.0']
Simply amazing for a daily banking.,['824.company-brand.general-satisfaction.0']
"Not good. Now they sending me spam emails. And they blocking my emails,when I send them back. I close my acc. long time ago. STOP IT. YOU ARE NOT GOOD. PERIOD.",['824.company-brand.general-satisfaction.0']
"Works well. Straightforward to use, good level of security on access, without too much hassle !! Well done.",['824.account-management.account-access.0']
love it. the fact you can lock pots and get your change to go straight into your savings where you can't touch it. that's amazing for people like myself who find budgeting what little money they have quite difficult,['824.company-brand.general-satisfaction.0']
very useful bcause is simple and fast to use on the go,['824.company-brand.convenience.0']
We have found this to be really convenient while in lock down to pay bills thank you,['824.company-brand.convenience.0']
Why I can't open an n26 account And how do I modify personal information,['824.account-management.account-access.0']
Verry good service for me every time when i was in Dartford branch . The mobile app is verry easy to use . The phone service is not bad .,['824.company-brand.general-satisfaction.0']
"Delighted! Does what I need it to do, and does it quickly and easily.
I use it frequently at home, and on the move.",['824.company-brand.general-satisfaction.0']
"Over the last year I have visited TSB at Cameron toll Edinburgh with the intention of opening an account with them as I was a customer many years ago. Each time I visited I was unable to speak to an advisor and on this last visit the desk clerk ,after requesting if I had identification etc. etc,went to see if there was somebody I could speak to. she returned after speaking to somebody to say sorry but there was nobody available maybe if I called back later . I,of course,replied no thanks .I then went on line ,when I got home,to check reviews on trust pilot and realised that I had a lucky escape.
Imagine investing your hard earned money with these amateurs. I’m angry at myself for not taking the time to check them out first.",['824.company-brand.general-satisfaction.0']
I love internetbanking in mobile that's is awesome. Thumbs up.,['824.company-brand.general-satisfaction.0']
"They are amazing, it is not often you can say something positive about a bank but Monzo deserves all the plaudits coming their way. 

I don't think of them as a bank and perhaps that is clever marketing but shifting that thought process is perhaps why so invested in them.",['824.company-brand.general-satisfaction.0']
The new search option and extended transaction history is a major improvement.  Only having the last six seemed a weird restriction with links back to the old paper statement from an ATM.  The new update sorts this put and is a welcome addition.,['824.online-experience.updates-versions.0']
I love it and it's very reliable. Quick and easy to understand.,['824.company-brand.general-satisfaction.0']
Now that nearly all my local Barclays have closed (very bad) this has proved a big help although it doesn’t excuse what Barclays has done. More big bonuses for the big chiefs I guess,['824.company-brand.general-satisfaction.0']
"I have just downloaded and signed up, I'm waiting for my card. I really think this app should have some sort of security to access the app. if someone has your phone they have full access to view your account. A 4-digit code would work for me/us.",['824.account-management.account-access.0']
An amazing banking app. Why would you use a traditional bank anymore?,['824.company-brand.competitor.0']
"I updated the app yesterday and now it won’t work, keeps sending me to the update page which is already updated, my only option from this page is to open the app which starts the cycle again, please sort it out.",['824.online-experience.updates-versions.0']
So convenient easy to use,['824.company-brand.convenience.0']
"Yes the new app works but not as useful as the old one, which I still prefer and do use. (TSB please say for how much longer as I preferred the old one).  New app doesn't give running balance on transactions screens. Finger print ID is good but why (as others have pointed out) require a password for transactions? It encourages weak passwords. Overall a backward step.","['824.account-management.fingerprint-facial-recognition.0', '824.company-brand.convenience.0']"
"hello???, I pay my rent through the app, just did the update now it simply doesnt open at all can you kindly FIX IT ASAP as I Need to pay my Rent !!!!! *furious*",['824.online-experience.updates-versions.0']
"Fast access, and easy to use. Comes in handy when I need to check my balance or if I've left the bank card at home","['824.account-management.account-access.0', '824.company-brand.convenience.0']"
Use it all the time when I'm on holiday and day to day use but mostly on holiday,['824.company-brand.general-satisfaction.0']
"Really easy signup process.

The app has a nice feel to it and I am ready to start saving!

I really hope Atom add a current account to their offerings soon.",['824.account-management.account-access.0']
Very clear simple and easy to use but still no touch id login as of yet so im only giving it 3 stars,['824.account-management.fingerprint-facial-recognition.0']
My parents are in their 80s. First time they have considered being in debt in their life.  First appointment led them to believe they could borrow a small amount towards a move of property.  When they return to get the loan they are told it’s illegal to lend for a move but ok for home improvements (which it would also cover.)However as they had already associated the money with the move bank couldn’t lend.  No problem that’s the law .  Comment by the staff should have chocked them.  “ it dosnt always pay to be honest! “  What can I say coming from the bank staff!,['824.company-brand.general-satisfaction.0']
Nice and easy for a gent over a certain age,['824.company-brand.general-satisfaction.0']
"I have sent several complaint emails but no one responded.  I used your company's other platforms to find help, but unfortunately there was no response too.

Moreover, your company's telephone service cannot solve customer difficulties and inquiries.  If your company really values ​​every customer, it won’t block the customer’s account without reason and notice.",['824.staff-support.email.0']
Great app gives you total control of your account. Like the fact I can buy currencies in advance at almost interbank rate. Transfers a breeze and great value compared to banks.,['824.company-brand.competitor.0']
Does not work with German maps. Really weak.,['824.online-experience.language.0']
"Nice and easy , I'm loving it",['824.company-brand.general-satisfaction.0']
The best bancking service!,"['824.company-brand.general-satisfaction.0', '824.company-brand.competitor.0']"
Beautiful I like it makes things easier to do things with your money saving spending transfers I hope for a better updates in future.,['824.company-brand.convenience.0']
"Love the app, love the bank. Spaces is a great feature!",['824.company-brand.general-satisfaction.0']
Very easy to use the app and set up the account. Wish all banks could use the same set up.,['824.account-management.account-access.0']
"N26 is a really convenient card, it allows you to do almost everything from home and without moving, I'm really satisfied.",['824.company-brand.general-satisfaction.0']
It does banking,['824.company-brand.general-satisfaction.0']
"Love the Barclays app, makes my life so much easier!",['824.company-brand.convenience.0']
Very easy to use I like it a lot 👍,['824.company-brand.general-satisfaction.0']
Very good app that allows complete access to do all your banking anywhere.,"['824.account-management.account-access.0', '824.company-brand.convenience.0']"
"I’m using this app since 2015. After last update It’s not working, I couldn’t sign in. I uninstalled and reinstalled still not working.","['824.account-management.account-access.0', '824.online-experience.updates-versions.0']"
"Always very happy to help, very helpful team.",['824.company-brand.convenience.0']
Go laba b-put karte iesaku,['824.company-brand.general-satisfaction.0']
"I never take the time to write a review but that all changed when I started using Chatterbank. Thank you for coming along and changing how millions of people interact with their money!

I have previously used many of the other FinTech apps such as Monzo and Monese but felt they lacked some of the very basics. Chatterbank really is the complete package and puts them all to shame! 

The sign up and verification process was so easy to navigate and I was kept informed every step of the way. I had already decided to sign up to their metal package due to the unrivalled benefits it offered. A few days later the most beautiful package arrived and this was another moment when I realised that Chatterbank are in a different league, the card itself is a work of art and the packaging had such a premium feel. It’s clear that they take customer security very seriously as reflected in their virtual card offering and it is so easy to control numerous cards within the app.

As someone who likes to travel I feel in such great hands. Converting between currencies is such a flawless process and their rate is yet to be beaten. The metal package offers really generous limits and knowing I can contact their team 24/7 at the tap of a button is very reassuring. 

Final mention I wanted to give is the ability to donate to various charities directly within the app! Knowing that every time I use my card the spare change is supporting worthwhile causes is a great feeling! I have already recommended Chatterbank to so many people and they are probably bored of hearing all of the praise as I genuinely haven’t got a bad word to say!

Keep up the great work Chatterbank, excited to be a part of the journey and I really do feel part of a community. Here’s to a long and happy financial relationship 😀

From one very satisfied new customer!",['824.company-brand.competitor.0']
"Very good, does all I need it too. Anything it cant do just pop onto live chat and they can sort it or give them a call. Never any issues",['824.company-brand.general-satisfaction.0']
